call_addr	protocol_id	size	function	source
0x18016c70e	0x0023	0x33	KPlayerClient::DoApplyJoinTeamRequest	JX3LogicEditOperationX64.dll
0x18016c7cd	0x0024	0x2F	KPlayerClient::DoApplyJoinTeamRespond	JX3LogicEditOperationX64.dll
0x18016c89c	0x0099	0xF	KPlayerClient::DoApplyKickOutTongMember	JX3LogicEditOperationX64.dll
0x18016c92e	0x00F7	?	KPlayerClient::DoApplyKickOutTongMember	JX3LogicEditOperationX64.dll
0x18016c9a1	0x011D	?	KPlayerClient::DoApplyMentorOrApprenticePushList	JX3LogicEditOperationX64.dll
0x18016ca36	0x0108	?	KPlayerClient::DoApplyMilitaryRankList	JX3LogicEditOperationX64.dll
0x18016cace	0x00F4	?	KPlayerClient::DoApplyMilitaryRankList	JX3LogicEditOperationX64.dll
0x18016cb2a	0x0008	?	KPlayerClient::DoApplyMilitaryRankList	JX3LogicEditOperationX64.dll
0x18016cb81	0x019D	?	KPlayerClient::DoApplyNpcAssistedRepresent	JX3LogicEditOperationX64.dll
0x18016cc0c	0x0190	0xF	KPlayerClient::DoApplyObjSlotInfo	JX3LogicEditOperationX64.dll
0x18016cc9c	0x00A4	0xF	KPlayerClient::DoApplyOpenTongRepertoryRequest	JX3LogicEditOperationX64.dll
0x18016cd38	0x006C	?	KPlayerClient::DoApplyOpenTongRepertoryRequest	JX3LogicEditOperationX64.dll
0x18016ce59	0x0181	0x35	KPlayerClient::DoApplyParkourInfo	JX3LogicEditOperationX64.dll
0x18016cef6	0x0018	?	KPlayerClient::DoApplyParkourInfo	JX3LogicEditOperationX64.dll
0x18016cf48	0x009C	?	KPlayerClient::DoApplyQuitTongRequest	JX3LogicEditOperationX64.dll
0x18016cfdc	0x00F0	0xC	KPlayerClient::DoApplyRealTimeRankList	JX3LogicEditOperationX64.dll
0x18016d071	0x0178	?	KPlayerClient::DoApplyRemoteDataRequest	JX3LogicEditOperationX64.dll
0x18016d0f8	0x01D2	?	KPlayerClient::DoApplySceneHeatMap	JX3LogicEditOperationX64.dll
0x18016d188	0x013F	?	KPlayerClient::DoApplySceneSfxDetailInfo	JX3LogicEditOperationX64.dll
0x18016d27c	0x01A5	?	KPlayerClient::DoApplySetCollectionAwardRequest	JX3LogicEditOperationX64.dll
0x18016d3ed	0x0188	?	KPlayerClient::DoApplySetCollectionAwardRequest	JX3LogicEditOperationX64.dll
0x18016d482	0x0184	?	KPlayerClient::DoApplyShowCardData	JX3LogicEditOperationX64.dll
0x18016d512	0x01D3	?	KPlayerClient::DoApplyShowCardData	JX3LogicEditOperationX64.dll
0x18016d5a2	0x01D4	?	KPlayerClient::DoApplyShowCardData	JX3LogicEditOperationX64.dll
0x18016d7cc	0x0131	0xF	KPlayerClient::DoApplyStartEmotionAction	JX3LogicEditOperationX64.dll
0x18016d85c	0x0129	0xF	KPlayerClient::DoApplyTeamMemberForceID	JX3LogicEditOperationX64.dll
0x18016d966	0x0122	?	KPlayerClient::DoApplyTeamPushSingle	JX3LogicEditOperationX64.dll
0x18016d9ec	0x0128	0xF	KPlayerClient::DoApplyTeamPushSingle	JX3LogicEditOperationX64.dll
0x18016da8b	0x0095	?	KPlayerClient::DoApplyTongLeagueRank	JX3LogicEditOperationX64.dll
0x18016dae6	0x01D1	?	KPlayerClient::DoApplyTongLeagueRank	JX3LogicEditOperationX64.dll
0x18016db83	0x0096	?	KPlayerClient::DoApplyTongLeagueRank	JX3LogicEditOperationX64.dll
0x18016dc9a	0x0094	?	KPlayerClient::DoApplyTongWarKillStatRequest	JX3LogicEditOperationX64.dll
0x18016e071	0x0047	0x23	KPlayerClient::DoApplyUseItem	JX3LogicEditOperationX64.dll
0x18016e14f	0x0047	0x16	KPlayerClient::DoApplyUseMultiItem	JX3LogicEditOperationX64.dll
0x18016e1d6	?	0x4F	KPlayerClient::DoApplyWebDataSign	JX3LogicEditOperationX64.dll
0x18016e291	?	0x53	KPlayerClient::DoApplyWebDataToken	JX3LogicEditOperationX64.dll
0x18016e31c	0x0119	0xC	KPlayerClient::DoApplyWeiboToken	JX3LogicEditOperationX64.dll
0x18016e45e	0x018D	?	KPlayerClient::DoAsuraMsgNotify	JX3LogicEditOperationX64.dll
0x18016e4ed	0x01D5	0x13	KPlayerClient::DoAuctionAvgLookupRequest	JX3LogicEditOperationX64.dll
0x18016e6d8	0x00B2	0x63	KPlayerClient::DoAuctionBidRequest	JX3LogicEditOperationX64.dll
0x18016e76c	0x00B4	0xF	KPlayerClient::DoAuctionCancelRequest	JX3LogicEditOperationX64.dll
0x18016e8fb	0x00B1	0xAE	KPlayerClient::DoAuctionLookupRequest	JX3LogicEditOperationX64.dll
0x18016e9d0	0x00B3	0x2A	KPlayerClient::DoAuctionSellRequest	JX3LogicEditOperationX64.dll
0x18016ea61	0x00B7	?	KPlayerClient::DoBMBidCancelRequest	JX3LogicEditOperationX64.dll
0x18016eb0d	0x00B6	0x1C	KPlayerClient::DoBMBidRequest	JX3LogicEditOperationX64.dll
0x18016eb9c	0x00B5	0xC	KPlayerClient::DoBMLookupRequest	JX3LogicEditOperationX64.dll
0x18016ec9d	0x01B6	?	KPlayerClient::DoBatchDeleteMysteryPendantItem	JX3LogicEditOperationX64.dll
0x18016ed63	0x01A9	?	KPlayerClient::DoBatchDeleteMysteryPendantItem	JX3LogicEditOperationX64.dll
0x18016edd6	0x01AB	?	KPlayerClient::DoBatchDeleteMysteryPendantItem	JX3LogicEditOperationX64.dll
0x18016ee58	0x01AA	?	KPlayerClient::DoBatchDeleteMysteryPendantItem	JX3LogicEditOperationX64.dll
0x18016eec6	0x0057	?	KPlayerClient::DoBatchDeleteMysteryPendantItem	JX3LogicEditOperationX64.dll
0x18016eff9	0x01A0	?	KPlayerClient::DoBodyBoneChangeRequest	JX3LogicEditOperationX64.dll
0x18016f08d	0x01A1	0xD	KPlayerClient::DoBodyBoneEquipRequest	JX3LogicEditOperationX64.dll
0x18016f169	0x01A1	0x3A	KPlayerClient::DoBookSceneSfxRequest	JX3LogicEditOperationX64.dll
0x18016f1ec	0x00EE	0xF	KPlayerClient::DoBuyCubPackageRequest	JX3LogicEditOperationX64.dll
0x18016f429	0x01E4	?	KPlayerClient::DoBuyExteriorCustomDyeing	JX3LogicEditOperationX64.dll
0x18016f5b4	0x01DE	?	KPlayerClient::DoBuyHairCustomDyeing	JX3LogicEditOperationX64.dll
0x18016f642	0x01D8	?	KPlayerClient::DoBuyNpcExteriorRequest	JX3LogicEditOperationX64.dll
0x18016f7e6	0x01DA	?	KPlayerClient::DoBuyNpcExteriorRequest	JX3LogicEditOperationX64.dll
0x18016f90c	0x019B	?	KPlayerClient::DoBuyNpcExteriorRequest	JX3LogicEditOperationX64.dll
0x18016f9ac	0x00AF	0xF	KPlayerClient::DoBuyRoleRenameChanceRequest	JX3LogicEditOperationX64.dll
0x18016fa3c	0x00AE	0xF	KPlayerClient::DoBuyTongRenameChanceRequest	JX3LogicEditOperationX64.dll
0x18016facc	0x0171	0xF	KPlayerClient::DoCampPlantCommanderInfoRequest	JX3LogicEditOperationX64.dll
0x18016fb5c	0x0172	0xF	KPlayerClient::DoCampPlantExploitRequest	JX3LogicEditOperationX64.dll
0x18016fcd0	0x0173	?	KPlayerClient::DoCampPlantInstructionRequest	JX3LogicEditOperationX64.dll
0x18016fd5c	0x0175	0xF	KPlayerClient::DoCampPlantOBDataRequest	JX3LogicEditOperationX64.dll
0x18016fdf1	0x019A	?	KPlayerClient::DoCanConsignTradeMallItemRequest	JX3LogicEditOperationX64.dll
0x18016fe78	0x0187	?	KPlayerClient::DoCancelBFTongLeagueSignUp	JX3LogicEditOperationX64.dll
0x18016ff0a	0x001D	?	KPlayerClient::DoCancelBFTongLeagueSignUp	JX3LogicEditOperationX64.dll
0x18016ff58	0x009F	?	KPlayerClient::DoCancelChangeTongMaster	JX3LogicEditOperationX64.dll
0x18016ffec	0x00C7	0xF	KPlayerClient::DoCancelPeerPayRequest	JX3LogicEditOperationX64.dll
0x18017007a	0x0030	?	KPlayerClient::DoCancelPeerPayRequest	JX3LogicEditOperationX64.dll
0x1801700c8	0x0162	?	KPlayerClient::DoCancelSyncBattlefieldCompetitorSkillCDStateRequest	JX3LogicEditOperationX64.dll
0x180170158	0x01E7	?	KPlayerClient::DoCancelSyncDungeonCompetitorSkillCDStateRequest	JX3LogicEditOperationX64.dll
0x18017020c	0x0104	0x1F	KPlayerClient::DoCastHoardSkill	JX3LogicEditOperationX64.dll
0x1801703c1	0x0049	0x20	KPlayerClient::DoCastProfessionSkill	JX3LogicEditOperationX64.dll
